"Qty";"Value";"Device";"Package";"Parts";"Description";"ALT-PART";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"VALUE";
"13";".1uF";"C-USC0805";"C0805";"C1, C3, C5, C6, C7, C8, C10, C11, C12, C13, C14, C15, C17";"CAPACITOR, American symbol";"";"311-1361-1-ND";"";"";"";"";"";"";"";
"1";"100";"R-US_R0805";"R0805";"R13";"RESISTOR, American symbol";"";"311-100ARCT-ND";"";"";"";"";"";"";"";
"2";"100k";"R-US_R0805";"R0805";"R11, R16";"RESISTOR, American symbol";"";"311-100KCRCT-ND";"";"";"";"";"";"";"";
"6";"10k";"R-US_R0805";"R0805";"R2, R9, R10, R12, R14, R15";"RESISTOR, American symbol";"";"311-10.0KCRCT-ND";"";"";"";"";"";"";"";
"2";"10nF";"C-USC0805";"C0805";"C2, C4";"CAPACITOR, American symbol";"";"399-1158-1-ND";"";"";"";"";"";"";"";
"7";"160 ohm";"SM-1206";"SM-1206";"L1, L2, L3, L4, L5, L6, L7";"INDUCTOR";"";"240-2411-1-ND";"";"";"unknown";"unknown";"";"";"";
"1";"16MHz";"RESONATOR16MHZ";"RESONATOR-SMD";"Y1";"Resonator";"";"478-5420-1-ND";"";"";"";"";"XTAL-08900";"";"16MHz";
"1";"1M";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";"311-1.0MARCT-ND";"";"";"";"";"";"";"";
"2";"1N4148W";"DIODE-SOD123";"SOD123";"D1, D2";"DIODE";"";"1N4148W-FDICT-ND";"";"";"";"";"";"";"";
"3";"1k";"R-US_R0805";"R0805";"R5, R6, R8";"RESISTOR, American symbol";"";"311-1.0KARCT-ND";"";"";"";"";"";"";"";
"1";"1x3 HEADER";"MA03-1";"MA03-1";"SV1";"PIN HEADER";"";"952-2264-ND";"";"";"unknown";"unknown";"";"";"";
"1";"2N2222";"BC817-16LT1SMD";"SOT23-BEC";"Q2";"NPN Transistor";"";"MMBT2222AFSCT-ND";"";"";"";"";"";"";"";
"1";"2x3 HEADER";"MA03-2";"MA03-2";"SV3";"PIN HEADER";"";"952-2121-ND";"";"";"unknown";"unknown";"";"";"";
"2";"4.7k";"R-US_R0805";"R0805";"R3, R4";"RESISTOR, American symbol";"";"311-4.7KARCT-ND";"";"";"";"";"";"";"";
"2";"47k";"R-US_R0805";"R0805";"R7, R17";"RESISTOR, American symbol";"";"311-47.0KCRCT-ND";"";"";"";"";"";"";"";
"2";"47uF";"CPOL-US153CLV-0605";"153CLV-0605";"C9, C16";"POLARIZED CAPACITOR, American symbol";"";"PCE3842CT-ND";"";"";"";"";"";"";"";
"1";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"J1";"Power Jack Connector";"";"CP-002AHPJCT-ND";"";"";"";"";"CONN-08106";"PRT-12748";"5.5x2.1mm Barrel";
"1";"ATMega328";"MEGA8-AI";"TQFP32-08";"U7";"MICROCONTROLLER";"";"ATMEGA328P-AU-ND";"";"ATMEGA8-16AU";"9171371";"73M8863";"";"";"";
"1";"B220/A";"B340A";"SMA-DIODE";"D3";"Schottky Diode";"";"641-1258-1-ND";"";"";"";"";"DIO-09886";"";"BA340A";
"1";"BME280";"BME280";"LGA-8-2.5X2.5";"U8";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";"";"";"";"";"";"IC-13090";"";"BME280";
"1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23";"Q1";"Common NMOSFET Parts";"";"BSS138KCT-ND";"";"";"";"";"TRANS-00830";"";"";
"1";"BU-SMA-H";"BU-SMA-H";"BU-SMA-H";"X1";"FEMALE SMA CONNECTOR";"";"CONSMA001-ND";"";"";"unknown";"unknown";"";"";"";
"1";"BUZZERNS";"BUZZERNS";"BUZZER-12MM-NS";"SG1";"Buzzer 12mm";"";"102-1155-ND";"";"";"";"";"";"";"";
"1";"GPS ANTENNA";"GPS_ANT_SMDBAR";"1575AT43A40";"ANT1";"1.575 GHz GPS Antenna Johanson Technology";"";"712-1003-1-ND";"";"";"";"";"";"";"";
"1";"GREEN LED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED2";"LED";"";"160-1169-1-ND";"";"";"";"";"";"";"";
"1";"LM1086";"LM1086TO263";"TO263";"U3";"";"";"LM1086ISX-5.0/NOPBCT-ND";"";"";"";"";"";"";"";
"1";"LP3985IM5-3.3/NOPB";"V_REG_LDOSMD";"SOT23-5";"U5";"Voltage Regulator LDO";"";"LP3985IM5-3.3/NOPBCT-ND";"";"";"";"";"";"";"";
"1";"MCP6L01T";"OPA725DBV";"SOT23-5";"U6";"Very Low Noise, High-Speed, 12V CMOS Operational Amplifier";"";"MCP6L01T-E/OTCT-ND";"";"";"";"";"";"";"";
"1";"Qwiic Right Angle";"I2C_STANDARDQWIIC";"1X04_1MM_RA";"SV2";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"CONN-13694";"";"Qwiic Right Angle";
"1";"RADIOMETRIX-HX1-CUSTOM";"RADIOMETRIX-HX1-CUSTOM";"RADIOMETRIX-HX1-CUSTOM";"U4";"";"";"";"";"";"";"";"";"";"";
"1";"RED LED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1";"LED";"";"160-1405-1-ND";"";"";"";"";"";"";"";
"1";"RESET";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"S1";"Momentary Switch";"";"CKN9104CT-ND";"";"";"";"";"SWCH-08247";"";"";
"1";"UBLOX_MAX";"UBLOX_MAX";"UBLOX_MAX";"U2";"UBLOX MAX";"UBLOX MAX-M8Q";"672-1003-1-ND";"";"";"";"";"";"";"";
